acct_id,extenders,wireless_clients_count,wired_clients_count,rx_avg_bps,tx_avg_bps,rx_p95_bps,tx_p95_bps,rx_max_bps,tx_max_bps,rssi_mean,rssi_median,rssi_max,rssi_min,network_speed,city,state,whole_home_wifi,wifi_security,wifi_security_plus,premium_tech_pro,identity_protection,family_identity_protection,total_shield,youtube_tv
00000950dea4a869e9fe70d823444d418c5abebbd8e8303306a1cdf1bae0fd6c,0,3,2,1849821.52,2229501.06,2652855.9,2243758.04,6606018.040000001,2390024.7399999998,-68.3,-67,-65,-75,500.0M,ROMA,TX,"","","","","","","",""
00002ec815678c6b9837ad4c9db82ac7fe5fb6af5dc22996b4f84272740c4c4e,1,13,6,531678.0631578946,317001.0684210526,1159275.2473684212,330959.19999999995,1947402.2789473687,377451.72105263156,-50.2,-47,-38,-76,500.0M,CARROLLTON,TX,"","","","","","","",""
000050825287b713415614a237757da4cd7517365cbce239ce50ec86d84c934c,1,9,3,265703.52499999997,9632.466666666667,1250416.875,31802.216666666664,1880263.4416666667,68332.65833333334,-55.8,-51,-28,-89,2000.0M,AZLE,TX,true,true,"","","","","",""
000060be4aa292815abc44ab6fe96015b89e83b21c8a63473ee216fd67998a99,0,3,3,1077447.5333333332,414961.3333333333,1576694.5666666667,423475.0666666667,1684422.4166666667,424580.1500000001,-60.0,-72,-14,-76,200.0M,VALPARAISO,IN,"","","","","","","",""
00008c39885815e42a0bb750cee199cd4da741a564570530cc38c3dc040f030c,1,19,7,608361.346153846,478025.8692307693,1349913.1538461535,655342.3538461538,2472541.676923077,1111928.5384615385,-57.5,-57,-33,-86,1000.0M,STRATFORD,CT,"","","","","","","",""
00009d9898eab1ea1d3669cd11ac257ccd98e1bc007e69d47f33a0f952293026,0,14,7,120511.17142857146,26147.014285714282,818567.1238095239,208691.82380952383,1801620.3476190474,447748.10952380946,-63.1,-63,-43,-90,500.0M,PLAIN CITY,OH,"","","","","","","",""
0000c415de5ceea33c02daa85a1c218ecca1b1c9e9864ed34d183597844de8e2,0,5,1,139912.05000000002,10749.383333333335,1137377.0166666666,58433.26666666667,2982684.9666666663,328552.06666666665,-52.8,-51,-28,-71,500.0M,VERNON ROCKVILLE,CT,"","","","","","","",""
0000df7211c711bf7bcf9ce4c98d92707de7ffde94efd38b2502a9ed2a8323a2,4,8,7,367778.06666666665,401091.27999999997,1156184.16,438185.61999999994,2128055.9799999995,491691.8466666666,-56.9,-57,-31,-76,500.0M,DOVER,OH,true,"","","","","","",""
00010928ff5a664fdb4db0d2fa5d87bbab31f369123367310240b008bcff13a5,0,6,2,492651.1875,753529.8625,489972.78750000003,753595.425,888987.25,755823.5249999999,-37.4,-38,-23,-47,500.0M,TAMPA,FL,"","","","","","","",""
00010b900c4231f17a763e83a25471dc81ce6a92d12f567a74a957657531ef97,0,10,2,484189.3666666667,31065.775000000005,1623703.8250000002,91428.96666666667,4367182.108333333,1124266.875,-64.8,-68,-29,-87,1000.0M,LAND O LAKES,FL,"",true,"","","","","",""
00012039856596ddf591abbc50c803b89d0207cbe72ad65634536a68e66823fe,3,20,8,246134.40357142853,12494.02857142857,1441141.3499999999,37803.121428571416,2355003.95,527846.5857142858,-62.2,-62,-48,-80,1000.0M,AVON,CT,"","","","","","","",""
0001210ddee4854260d5f7b37e397fdfa698e1435630bc71520e9801b643182a,1,13,3,16805.075,12163.75,46800.95625000002,63521.20625,1115563.1437499998,848608.1375000001,-54.9,-54,-16,-83,1000.0M,SARASOTA,FL,true,"","","","","","",""
00013e76021ddaa259545dc808e41780be01d5f9cf259010e6175d15468d5878,2,15,6,910400.6904761903,541665.3523809524,1750440.5523809528,570656.4476190476,2890252.88095238,699558.319047619,-51.6,-53,-28,-79,2000.0M,WINTER HAVEN,FL,true,"","","","","","",""
0001565bde88fcd742f771b559ea3b61453fe49452b7c29a2537cb718bb3c8f6,1,28,4,147514.153125,7835.271875000001,812221.8999999999,35566.118749999994,2407313.709375001,75011.93124999998,-59.5,-61,-21,-86,1000.0M,TOLLAND,CT,"","","","","","","",""
00015b36e378adaf1e926dc33b9462fd691bd69a68fdfe1819d34445f799a694,1,21,4,150945.56,8310.748,645342.084,32851.424000000006,1499361.4520000003,77942.912,-57.0,-57,-35,-89,1000.0M,DRUMS,PA,"","","","","","","",true
000195d32ddf1a26abc67f44f2dd3cd1a8b0911c1ecc5f6e00e7471e956001ca,1,15,6,30506.866666666665,1866.4428571428568,139298.16666666666,6003.338095238095,769750.8904761905,64447.099999999984,-59.5,-59,-36,-82,1000.0M,POMONA,CA,"","","","","","","",""
00019f1459bdfbdae7d3d172c4a8b5bf01955e83ea18febafd8ecb2ecaef0704,0,18,1,413874.95263157896,4854.068421052631,1161072.9000000001,13906.526315789473,1782036.6000000003,48182.66842105263,-58.4,-60,-39,-82,1000.0M,WESLEY CHAPEL,FL,true,true,"","","","","",""
0001a64cffa0d32dd7e845b0b98f7213938d5a10c92f1900b1bf3acd5d98f657,1,28,6,242817.44999999998,6839.6352941176465,563472.2794117648,19349.844117647062,1247615.3558823527,92813.00294117651,-54.6,-53,-28,-89,2000.0M,LUTZ,FL,"","","","","","","",""
